,Unnamed: 0,Unnamed: 0.1,Surname,First name,Institution,Department,Email address,State,Started on,Completed,Time taken,Grade/350.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /10.00,Q. 4 /10.00,Q. 5 /15.00,Q. 6 /15.00,Q. 7 /15.00,Q. 8 /20.00,Q. 9 /20.00,Q. 10 /5.00,Q. 11 /5.00,Q. 12 /10.00,Q. 13 /10.00,Q. 14 /15.00,Q. 15 /15.00,Q. 16 /15.00,Q. 17 /20.00,Q. 18 /20.00,Q. 19 /5.00,Q. 20 /5.00,Q. 21 /5.00,Q. 22 /5.00,Q. 23 /5.00,Q. 24 /5.00,Q. 25 /5.00,Q. 26 /5.00,Q. 27 /5.00,Q. 28 /5.00,Q. 29 /5.00,Q. 30 /5.00,Q. 31 /2.00,Q. 32 /2.00,Q. 33 /2.00,Q. 34 /2.00,Q. 35 /2.00,Q. 36 /10.00,Q. 37 /10.00,Q. 38 /30.00,Vocab Total,Grammar Total,Reading Total,Computer Total,Writing Total,Vocab Section,Grammar Section,Reading Section,Computer Section,Writing Section
10,10,10,S2,user12,,,user121@c.com,Finished,1801202017 15:59,1801202017 16:14,14 mins 43 secs,Not yet graded,0,5,0,10,0,15,0,20,0,5,0,0,0,0,0,15,20,16,0,5,0,0,0,5,5,5,5,0,5,5,2,2,2,2,2,6,5,13,50,56,35,10,24,0,0,0,1,1
11,11,11,S3,user13,,,user131@c.com,Finished,1801202017 16:16,1801202017 16:29,12 mins 41 secs,Not yet graded,5,5,0,10,15,15,15,4,0,5,0,10,0,0,15,15,20,20,5,5,5,5,5,0,5,5,5,5,5,0,0,0,2,0,0,9,6,28,69,85,50,2,43,0,2,1,2,0
12,12,12,S4,user14,,,user141@c.com,Finished,1801202017 16:31,1801202017 16:50,19 mins 11 secs,Not yet graded,0,0,0,10,0,15,15,20,0,5,0,0,0,0,0,0,8,16,0,5,0,5,0,0,5,0,0,0,5,5,2,0,0,0,0,0,8,0,60,29,25,2,8,0,1,0,2,2
13,13,13,S5,user15,,,user151@c.com,Finished,1801202017 16:52,1801202017 17:07,15 mins 10 secs,Not yet graded,0,0,10,10,0,0,15,0,10,5,0,0,0,15,0,0,8,0,0,5,0,5,5,5,5,0,0,0,0,5,0,2,0,2,0,2,6,19,45,28,30,4,27,1,1,0,2,1
14,14,14,S6,user16,,,user161@c.com,Finished,1801202017 17:11,1801202017 17:19,8 mins 11 secs,Not yet graded,5,5,10,10,15,15,15,0,10,5,0,10,0,15,15,0,12,4,5,5,0,5,0,5,5,0,0,0,5,5,2,2,2,2,2,7,9,23,85,61,35,10,39,2,0,0,1,0
15,15,15,S7,user17,,,user171@c.com,Finished,1801202017 17:12,1801202017 17:20,23 mins 24 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,0,10,10,0,15,15,8,4,0,0,0,0,5,5,0,0,0,0,5,0,2,2,2,2,2,5,7,25,80,67,15,10,37,2,0,2,1,0
16,16,16,S8,user18,,,user172@c.com,Finished,1801202017 17:13,1801202017 17:21,21 mins 51 secs,Not yet graded,5,5,0,0,0,15,0,0,5,5,0,0,0,15,15,0,8,0,0,0,5,5,0,0,5,0,0,5,0,5,0,2,2,2,0,3,6,17,30,43,25,6,26,1,1,0,0,1
17,17,17,S9,user19,,,user173@c.com,Finished,1801202017 17:14,1801202017 17:22,14 mins 43 secs,Not yet graded,0,0,10,10,15,15,15,0,10,5,0,10,10,15,0,15,4,4,0,5,0,5,5,5,5,0,5,0,5,0,2,0,2,0,2,7,4,18,75,63,35,6,29,2,0,0,0,1
18,18,18,S10,user20,,,user174@c.com,Finished,1801202017 17:15,1801202017 17:23,12 mins 41 secs,Not yet graded,5,5,10,10,15,15,15,12,5,5,0,0,0,0,15,15,4,4,5,0,5,0,5,5,0,5,0,5,5,0,2,2,2,0,2,8,8,19,92,43,35,8,35,2,1,0,0,0
19,19,19,S11,user21,,,user175@c.com,Finished,1801202017 17:16,1801202017 17:24,19 mins 11 secs,Not yet graded,0,0,10,10,15,15,0,0,10,5,0,10,10,15,15,0,8,8,0,5,5,0,0,0,0,0,0,0,5,5,2,0,2,0,2,7,8,10,60,71,20,6,25,0,0,2,0,1
20,20,20,S12,user22,,,user176@c.com,Finished,1801202017 17:17,1801202017 17:25,15 mins 10 secs,Not yet graded,5,5,10,10,15,15,15,20,10,5,5,10,10,15,15,15,20,20,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,10,10,30,105,115,60,10,50,2,2,1,1,0
21,21,21,S13,user23,,,user177@c.com,Finished,1801202017 17:18,1801202017 17:26,8 mins 11 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,0,10,10,0,0,0,8,0,0,0,0,0,5,5,0,0,0,0,5,0,2,2,2,2,2,5,7,25,80,33,15,10,37,2,1,2,1,0
22,22,22,S14,user24,,,user178@c.com,Finished,1801202017 17:19,1801202017 17:27,23 mins 24 secs,Not yet graded,0,5,10,10,15,15,15,8,0,5,0,10,10,0,15,15,0,4,0,5,0,0,0,0,5,5,0,0,5,0,0,0,0,2,2,8,4,20,78,59,20,4,32,2,0,2,2,0
23,23,23,S15,user25,,,user179@c.com,Finished,1801202017 17:20,1801202017 17:28,21 mins 51 secs,Not yet graded,5,5,0,0,0,15,0,0,5,0,5,0,0,15,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,2,2,6,6,15,30,43,5,8,27,1,1,2,0,1
24,24,24,S16,user26,,,user180@c.com,Finished,1801202017 17:21,1801202017 17:29,14 mins 43 secs,Not yet graded,5,0,0,10,15,0,15,0,10,5,5,0,10,15,0,0,8,8,0,5,0,0,0,0,0,0,5,0,0,0,2,2,2,2,2,9,9,14,55,51,10,10,32,0,1,2,1,0
25,25,25,S17,user27,,,user181@c.com,Finished,1801202017 17:22,1801202017 17:30,12 mins 41 secs,Not yet graded,5,0,10,10,0,15,15,8,5,5,0,0,0,0,15,15,4,4,5,0,5,0,5,0,5,0,0,5,5,0,2,2,2,0,0,10,8,17,68,43,30,6,35,0,1,0,0,0
26,26,26,S18,user28,,,user182@c.com,Finished,1801202017 17:23,1801202017 17:31,19 mins 11 secs,Not yet graded,5,0,10,10,0,15,15,0,10,5,0,10,10,15,15,0,4,8,0,5,5,0,0,0,0,0,0,0,5,5,2,2,2,0,0,5,6,9,65,67,20,6,20,0,0,2,0,1
27,27,27,S19,user29,,,user183@c.com,Finished,1801202017 17:24,1801202017 17:32,15 mins 10 secs,Not yet graded,0,5,0,10,15,15,15,8,10,5,0,10,10,15,15,15,0,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,6,9,8,78,74,60,10,23,2,0,1,1,1
28,28,28,S20,user30,,,user184@c.com,Finished,1801202017 17:25,1801202017 17:33,8 mins 11 secs,Not yet graded,5,5,10,10,15,15,15,0,10,5,0,10,10,0,15,15,0,4,0,0,0,0,5,5,0,0,0,0,5,0,2,2,2,2,2,5,7,25,85,59,15,10,37,2,0,2,1,0
29,29,29,S30,user40,,,user185@c.com,Finished,1801202017 17:26,1801202017 17:34,23 mins 24 secs,Not yet graded,0,5,10,10,15,15,15,8,0,5,5,10,10,15,15,15,0,10,5,5,5,0,0,0,5,5,0,5,5,5,0,0,0,2,2,8,4,20,78,85,40,4,32,2,2,0,2,0
30,30,30,S31,user41,,,user186@c.com,Finished,1801202017 17:27,1801202017 17:35,21 mins 51 secs,Not yet graded,5,5,0,0,0,15,0,0,5,0,5,10,10,15,15,15,8,0,0,0,5,5,0,5,0,0,0,5,0,5,0,2,2,2,2,6,6,15,30,78,25,8,27,1,2,0,0,1
31,31,31,S32,user42,,,user187@c.com,Finished,1801202017 17:28,1801202017 17:36,14 mins 43 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,5,0,0,0,15,0,0,8,0,5,0,5,5,5,0,0,5,5,0,0,2,2,2,2,2,9,9,14,80,33,30,10,32,2,1,0,1,0
32,32,32,S33,user43,,,user188@c.com,Finished,1801202017 17:29,1801202017 17:37,12 mins 41 secs,Not yet graded,5,5,10,10,15,15,15,8,5,5,0,10,10,15,15,15,0,10,5,0,0,0,5,0,5,0,5,5,5,0,2,2,2,2,2,10,8,17,88,80,30,10,35,2,2,0,1,0
33,33,33,S34,user44,,,user189@c.com,Finished,1801202017 17:30,1801202017 17:38,19 mins 11 secs,Not yet graded,0,0,10,10,15,15,0,0,10,5,5,10,10,15,15,15,8,0,0,5,5,0,0,5,0,0,0,5,5,5,2,2,0,0,0,5,6,9,60,83,30,4,20,0,2,0,2,1
34,34,34,S35,user45,,,user190@c.com,Finished,1801202017 17:31,1801202017 17:39,15 mins 10 secs,Not yet graded,0,5,0,10,15,15,15,8,10,0,0,0,10,15,15,15,0,10,5,5,5,5,5,5,5,5,5,5,0,5,2,2,0,2,2,6,9,8,78,65,55,8,23,2,0,1,0,1
35,35,35,S36,user46,,,user191@c.com,Finished,1801202017 17:32,1801202017 17:40,8 mins 11 secs,Not yet graded,5,0,10,10,15,15,15,0,10,0,5,0,10,15,15,0,8,0,0,0,0,0,5,5,0,0,0,0,5,0,2,2,2,2,2,5,7,25,80,53,15,10,37,2,0,2,1,0
36,36,36,S37,user47,,,user192@c.com,Finished,1801202017 17:33,1801202017 17:41,9 mins 11 secs,Not yet graded,0,5,10,10,15,15,15,8,0,5,0,10,10,15,15,15,0,10,5,5,0,0,0,0,5,5,0,0,5,5,0,0,2,2,2,8,4,20,78,80,30,6,32,2,2,0,0,0
37,37,37,S38,user48,,,user193@c.com,Finished,1801202017 17:34,1801202017 17:42,10 mins 11 secs,Not yet graded,5,5,0,0,0,15,0,0,5,5,0,10,0,15,0,0,8,0,5,0,5,0,0,0,5,0,0,5,0,5,0,2,2,2,2,6,6,15,30,38,25,8,27,1,1,0,0,1
38,38,38,S39,user49,,,user194@c.com,Finished,1801202017 17:35,1801202017 17:43,11 mins 11 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,5,0,10,15,15,15,8,8,0,0,0,5,5,5,0,0,5,0,5,0,2,2,2,2,0,9,9,14,80,81,25,8,32,2,2,0,0,0
39,39,39,S40,user50,,,user195@c.com,Finished,1801202017 17:36,1801202017 17:44,12 mins 11 secs,Not yet graded,5,5,10,10,15,15,15,8,5,0,0,10,0,0,15,15,4,4,5,5,5,0,5,5,5,0,0,5,5,0,2,2,2,2,0,10,8,17,88,48,40,8,35,2,1,0,0,0
40,40,40,S41,user51,,,user196@c.com,Finished,1801202017 17:37,1801202017 17:45,13 mins 11 secs,Not yet graded,0,0,10,10,15,15,15,0,10,0,0,0,10,15,15,15,4,8,0,5,5,0,0,0,0,0,0,0,0,5,2,2,2,0,0,5,6,9,75,67,15,6,20,2,0,2,0,1
41,41,41,S42,user52,,,user197@c.com,Finished,1801202017 17:38,1801202017 17:46,14 mins 11 secs,Not yet graded,0,5,0,10,15,15,15,8,10,0,0,0,10,15,0,0,0,4,5,5,5,5,5,0,5,5,5,5,0,0,2,2,2,2,2,6,9,8,78,29,45,10,23,2,1,1,1,1
42,42,42,S43,user53,,,user198@c.com,Finished,1801202017 17:39,1801202017 17:47,15 mins 11 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,5,0,10,0,15,15,8,4,0,0,0,0,5,5,0,0,0,5,5,0,2,2,0,2,2,5,7,25,80,62,20,8,37,2,0,2,0,0
43,43,43,S44,user54,,,user199@c.com,Finished,1801202017 17:40,1801202017 17:48,16 mins 11 secs,Not yet graded,5,0,10,0,15,0,0,8,0,0,0,10,10,0,15,15,0,0,0,5,0,0,0,0,5,5,0,5,5,5,2,0,0,2,2,8,4,20,38,50,30,6,32,1,1,0,0,0
44,44,44,S45,user55,,,user200@c.com,Finished,1801202017 17:41,1801202017 17:49,17 mins 11 secs,Not yet graded,5,0,0,10,15,15,15,8,15,5,0,0,0,15,15,0,8,0,5,0,0,0,0,0,0,0,0,0,0,5,0,2,2,2,2,6,6,15,83,43,10,8,27,2,1,2,0,1
45,45,45,S46,user56,,,user201@c.com,Finished,1801202017 17:42,1801202017 17:50,18 mins 11 secs,Not yet graded,5,0,10,0,0,15,15,4,5,5,0,10,10,15,15,15,8,8,0,5,0,0,5,5,0,0,5,0,5,0,2,2,2,2,2,9,9,14,54,86,25,10,32,0,2,0,1,0
46,46,46,S47,user57,,,user202@c.com,Finished,1801202017 17:43,1801202017 17:51,19 mins 11 secs,Not yet graded,5,0,10,0,15,0,0,8,5,5,0,10,0,0,15,15,8,4,5,0,5,0,5,5,5,0,0,5,5,0,2,2,2,2,0,10,8,17,43,57,35,8,35,1,0,0,0,0
47,47,47,S48,user58,,,user203@c.com,Finished,1801202017 17:44,1801202017 17:52,20 mins 11 secs,Not yet graded,5,0,10,10,15,15,15,0,10,0,0,0,10,15,0,0,0,8,0,5,5,5,0,0,5,0,0,5,5,0,2,2,2,0,0,5,6,9,80,33,30,6,20,2,1,0,0,1
48,48,48,S49,user59,,,user204@c.com,Finished,1801202017 17:45,1801202017 17:53,21 mins 11 secs,Not yet graded,5,0,0,10,15,15,0,8,10,5,5,10,10,15,15,15,8,4,5,5,5,5,5,0,5,5,5,5,0,5,2,2,2,2,2,6,9,8,63,87,50,10,23,0,2,1,1,1
49,49,49,S50,user60,,,user205@c.com,Finished,1801202017 17:46,1801202017 17:54,22 mins 11 secs,Not yet graded,0,0,10,10,0,15,15,0,10,5,0,10,10,0,15,15,8,4,0,0,0,0,5,5,0,0,5,0,0,5,2,2,2,2,2,5,7,25,60,67,20,10,37,0,0,2,1,0
50,50,50,S51,user61,,,user206@c.com,Finished,1801202017 17:47,1801202017 17:55,23 mins 11 secs,Not yet graded,0,0,0,10,0,0,15,8,0,5,0,10,10,0,0,15,0,4,0,5,0,0,0,0,5,5,0,0,5,0,2,2,0,2,2,8,4,20,33,44,20,8,32,1,1,2,0,0
51,51,51,S52,user62,,,user207@c.com,Finished,1801202017 17:48,1801202017 17:56,24 mins 11 secs,Not yet graded,0,10,10,0,15,15,15,0,5,0,5,0,0,15,15,15,8,16,5,5,0,5,5,5,0,0,0,0,0,5,2,2,2,2,2,6,6,15,70,74,30,10,27,0,0,0,1,1
52,52,52,S53,user63,,,user208@c.com,Finished,1801202017 17:49,1801202017 17:57,25 mins 11 secs,Not yet graded,5,10,10,10,15,15,0,0,10,0,0,0,10,15,15,15,20,12,0,5,5,0,0,5,0,0,5,0,0,5,2,2,2,2,2,9,9,14,75,87,25,10,32,2,2,0,1,0
53,53,53,S54,user64,,,user209@c.com,Finished,1801202017 17:50,1801202017 17:58,26 mins 11 secs,Not yet graded,5,0,10,10,0,15,15,8,5,0,0,0,0,0,0,15,4,4,5,0,5,0,5,0,5,0,0,5,5,0,2,2,2,0,0,10,8,17,68,23,30,6,35,0,1,0,0,0
54,54,54,S55,user65,,,user210@c.com,Finished,1801202017 17:51,1801202017 17:59,27 mins 11 secs,Not yet graded,0,0,0,10,0,0,15,0,10,5,0,5,10,15,15,15,12,20,0,5,5,5,0,0,0,0,0,0,5,0,2,2,2,0,0,5,6,9,35,97,20,6,20,1,2,2,0,1
55,55,55,S56,user66,,,user211@c.com,Finished,1801202017 17:52,1801202017 17:60,28 mins 11 secs,Not yet graded,0,10,10,0,15,15,15,8,10,5,5,5,0,15,0,15,0,4,0,5,5,5,5,5,5,5,5,5,5,5,2,0,2,2,2,6,9,8,83,49,55,8,23,2,1,1,0,1
56,56,56,S57,user67,,,user212@c.com,Finished,1801202017 17:53,1801202017 17:61,29 mins 11 secs,Not yet graded,5,10,10,10,15,15,15,0,10,0,5,0,10,0,15,0,8,12,5,0,0,5,5,5,0,0,5,0,5,5,2,2,2,2,2,5,7,25,90,50,35,10,37,2,1,0,1,0
57,57,57,S58,user68,,,user213@c.com,Finished,1801202017 17:54,1801202017 17:62,30 mins 11 secs,Not yet graded,5,5,10,10,15,15,0,0,0,5,5,5,10,0,0,15,0,8,0,0,0,0,0,0,5,5,0,0,5,0,2,2,2,2,2,8,4,20,60,48,15,10,32,0,1,2,1,0
58,58,58,S59,user69,,,user214@c.com,Finished,1801202017 17:55,1801202017 17:63,31 mins 11 secs,Not yet graded,5,0,10,10,15,15,0,8,10,0,0,0,10,15,15,15,8,12,5,0,5,0,0,5,0,0,0,0,5,5,2,2,2,0,2,6,6,15,73,75,25,8,27,2,0,0,0,1
59,59,59,S60,user70,,,user215@c.com,Finished,1801202017 17:56,1801202017 17:64,32 mins 11 secs,Not yet graded,5,0,0,10,15,0,15,0,0,5,5,10,10,15,15,0,16,8,0,5,0,0,0,5,0,5,5,0,0,5,2,2,2,2,2,9,9,14,45,84,25,10,32,1,2,0,1,0
60,60,60,S61,user71,,,user216@c.com,Finished,1801202017 17:57,1801202017 17:65,5 mins 56 secs,Not yet graded,0,0,10,0,15,15,15,8,10,5,0,0,0,0,15,0,16,4,5,5,5,0,5,0,5,5,0,5,5,0,2,0,2,2,2,10,8,17,73,40,40,8,35,2,1,0,0,0
61,61,61,S62,user72,,,user217@c.com,Finished,1801202017 17:58,1801202017 17:66,6 mins 56 secs,Not yet graded,0,5,10,10,15,15,15,0,0,5,5,10,10,15,0,15,4,8,0,0,5,0,0,5,0,0,5,0,5,5,0,2,0,2,0,5,6,9,70,72,25,4,20,0,0,0,2,1
62,62,62,S63,user73,,,user218@c.com,Finished,1801202017 17:59,1801202017 17:67,7 mins 56 secs,Not yet graded,0,5,0,10,15,0,15,8,10,5,0,10,10,0,15,15,0,12,5,5,5,5,5,0,5,5,0,5,0,5,2,2,2,2,2,6,9,8,63,67,45,10,23,0,0,1,1,1
63,63,63,S64,user74,,,user219@c.com,Finished,1801202017 17:60,1801202017 17:68,8 mins 56 secs,Not yet graded,5,0,10,10,15,15,15,0,0,5,5,10,10,15,15,15,8,12,0,0,0,0,5,5,0,0,0,5,5,5,2,2,0,2,2,5,7,25,70,95,25,8,37,0,2,0,0,0
64,64,64,S65,user75,,,user220@c.com,Finished,1801202017 17:61,1801202017 17:69,9 mins 56 secs,Not yet graded,0,5,10,10,15,0,15,8,0,5,5,0,10,15,0,15,4,4,5,5,5,0,0,5,5,5,0,0,5,0,0,0,0,2,2,8,4,20,63,58,35,4,32,0,0,0,2,0
65,65,65,S66,user76,,,user221@c.com,Finished,1801202017 17:62,1801202017 17:70,10 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,0,10,5,5,10,0,15,0,15,8,0,0,0,0,0,5,0,0,0,0,5,0,5,0,2,2,2,2,6,6,15,35,58,15,8,27,1,0,2,0,1
66,66,66,S67,user77,,,user222@c.com,Finished,1801202017 17:63,1801202017 17:71,11 mins 56 secs,Not yet graded,5,0,10,10,15,0,15,0,0,0,0,10,10,15,15,0,13,8,0,5,0,5,5,0,0,5,5,0,0,0,2,2,2,2,2,9,9,14,55,71,25,10,32,0,0,0,1,0
67,67,67,S68,user78,,,user223@c.com,Finished,1801202017 17:64,1801202017 17:72,12 mins 56 secs,Not yet graded,5,5,10,10,15,15,15,8,10,0,0,0,0,0,0,15,12,4,5,0,5,0,0,5,5,5,0,5,5,0,0,2,2,0,0,10,8,17,93,31,35,4,35,2,1,0,2,0
68,68,68,S69,user79,,,user224@c.com,Finished,1801202017 17:65,1801202017 17:73,13 mins 56 secs,Not yet graded,0,0,10,0,15,0,15,0,0,5,5,0,10,15,15,15,4,8,0,0,5,5,0,0,0,0,5,0,0,5,2,2,2,0,0,5,6,9,40,77,20,6,20,1,2,2,0,1
69,69,69,S70,user80,,,user225@c.com,Finished,1801202017 17:66,1801202017 17:74,14 mins 56 secs,Not yet graded,0,5,0,10,15,15,15,8,0,0,5,10,10,15,15,15,12,16,5,0,5,5,5,5,5,5,5,5,5,5,0,0,2,2,2,6,9,8,68,98,55,6,23,0,2,1,0,1
70,70,70,S71,user81,,,user226@c.com,Finished,1801202017 17:67,1801202017 17:75,15 mins 56 secs,Not yet graded,0,0,10,10,0,15,15,0,10,0,0,0,10,15,15,15,4,8,0,0,5,0,0,0,0,5,5,0,5,5,2,2,2,0,0,5,6,9,60,67,25,6,20,0,0,0,0,1
71,71,71,S72,user82,,,user227@c.com,Finished,1801202017 17:68,1801202017 17:76,16 mins 56 secs,Not yet graded,0,5,0,10,15,0,15,8,10,0,5,10,10,15,0,0,0,4,5,5,5,5,5,0,5,5,5,5,5,0,0,0,2,2,2,6,9,8,63,44,50,6,23,0,1,1,0,1
72,72,72,S73,user83,,,user228@c.com,Finished,1801202017 17:69,1801202017 17:77,17 mins 56 secs,Not yet graded,5,0,10,0,15,0,15,0,10,5,0,10,10,0,15,0,4,0,0,0,0,0,5,5,0,0,0,0,0,0,2,2,0,2,2,5,7,25,55,44,10,8,37,0,1,2,0,0
73,73,73,S74,user84,,,user229@c.com,Finished,1801202017 17:70,1801202017 17:78,18 mins 56 secs,Not yet graded,0,5,10,10,15,15,15,8,10,5,0,10,10,0,15,15,0,4,5,5,0,0,0,5,5,5,0,0,5,5,0,0,0,2,2,8,4,20,88,59,35,4,32,2,0,0,2,0
74,74,74,S75,user85,,,user230@c.com,Finished,1801202017 17:71,1801202017 17:79,19 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,0,0,0,5,0,0,15,15,15,20,0,0,5,0,5,0,0,0,5,0,5,0,0,0,2,2,2,2,6,6,15,25,70,20,8,27,1,0,2,0,1
75,75,75,S76,user86,,,user231@c.com,Finished,1801202017 17:72,1801202017 17:80,20 mins 56 secs,Not yet graded,5,0,10,10,15,0,15,0,10,5,5,0,10,15,15,15,8,16,0,5,0,5,0,0,0,0,5,0,0,0,2,2,0,0,2,9,9,14,65,89,15,6,32,0,2,2,0,0
76,76,76,S77,user87,,,user232@c.com,Finished,1801202017 17:73,1801202017 17:81,21 mins 56 secs,Not yet graded,5,5,10,0,15,15,15,8,5,0,5,10,0,0,15,0,16,4,5,0,5,5,5,5,5,0,5,5,5,5,2,2,2,2,2,10,8,17,78,50,50,10,35,2,1,1,1,0
77,77,77,S78,user88,,,user233@c.com,Finished,1801202017 17:74,1801202017 17:82,22 mins 56 secs,Not yet graded,0,0,0,10,15,0,15,0,0,5,0,0,10,15,0,15,4,8,0,0,5,0,0,5,0,5,0,0,5,5,0,2,2,0,2,5,6,9,40,57,25,6,20,1,0,0,0,1
78,78,78,S79,user89,,,user234@c.com,Finished,1801202017 17:75,1801202017 17:83,23 mins 56 secs,Not yet graded,0,5,10,10,15,15,15,8,10,5,5,0,10,15,0,15,0,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,0,2,2,6,9,8,88,54,60,8,23,2,0,1,0,1
79,79,79,S80,user90,,,user235@c.com,Finished,1801202017 17:76,1801202017 17:84,24 mins 56 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,5,10,10,0,15,15,0,12,0,0,0,0,5,5,0,0,5,0,5,5,0,2,2,2,0,5,7,25,80,72,25,6,37,2,0,0,0,0
80,80,80,S81,user91,,,user236@c.com,Finished,1801202017 17:77,1801202017 17:85,25 mins 56 secs,Not yet graded,0,5,0,10,15,0,15,0,5,5,5,0,10,0,0,0,0,4,0,5,0,0,5,0,5,0,5,5,5,0,2,0,0,2,2,8,4,20,50,24,30,6,32,0,1,0,0,0
81,81,81,S82,user92,,,user237@c.com,Finished,1801202017 17:78,1801202017 17:86,26 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,8,5,0,0,0,0,15,15,15,8,0,5,0,5,0,0,0,0,5,0,5,5,5,0,0,2,0,2,6,6,15,38,53,30,4,27,1,0,0,2,1
