Surname,First name,Institution,Department,Email address,State,Started on,Completed,Time taken,Grade/350.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /10.00,Q. 4 /10.00,Q. 5 /15.00,Q. 6 /15.00,Q. 7 /15.00,Q. 8 /20.00,Q. 9 /20.00,Q. 10 /5.00,Q. 11 /5.00,Q. 12 /10.00,Q. 13 /10.00,Q. 14 /15.00,Q. 15 /15.00,Q. 16 /15.00,Q. 17 /20.00,Q. 18 /20.00,Q. 19 /5.00,Q. 20 /5.00,Q. 21 /5.00,Q. 22 /5.00,Q. 23 /5.00,Q. 24 /5.00,Q. 25 /5.00,Q. 26 /5.00,Q. 27 /5.00,Q. 28 /5.00,Q. 29 /5.00,Q. 30 /5.00,Q. 31 /2.00,Q. 32 /2.00,Q. 33 /2.00,Q. 34 /2.00,Q. 35 /2.00,Q. 36 /10.00,Q. 37 /10.00,Q. 38 /30.00
S10,user20,,,user174@c.com,Finished,1801202017 17:15,1801202017 17:23,12 mins 41 secs,Not yet graded,5,5,10,10,15,15,15,12,5,5,0,0,0,0,15,15,4,4,5,0,5,0,5,5,0,5,0,5,5,0,2,2,2,0,2,8,8,19
S11,user21,,,user175@c.com,Finished,1801202017 17:16,1801202017 17:24,19 mins 11 secs,Not yet graded,0,0,10,10,15,15,0,0,10,5,0,10,10,15,15,0,8,8,0,5,5,0,0,0,0,0,0,0,5,5,2,0,2,0,2,7,8,10
S12,user22,,,user176@c.com,Finished,1801202017 17:17,1801202017 17:25,15 mins 10 secs,Not yet graded,5,5,10,10,15,15,15,20,10,5,5,10,10,15,15,15,20,20,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,10,10,30
S13,user23,,,user177@c.com,Finished,1801202017 17:18,1801202017 17:26,8 mins 11 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,0,10,10,0,0,0,8,-,0,0,0,0,5,5,0,0,0,0,5,0,2,2,2,2,2,5,7,25
S14,user24,,,user178@c.com,Finished,1801202017 17:19,1801202017 17:27,23 mins 24 secs,Not yet graded,0,5,10,10,15,15,15,8,0,5,0,10,10,0,15,15,0,4,0,5,0,0,0,0,5,5,0,0,5,0,0,0,0,2,2,8,4,20
S15,user25,,,user179@c.com,Finished,1801202017 17:20,1801202017 17:28,21 mins 51 secs,Not yet graded,5,5,0,0,0,15,0,0,5,0,5,0,0,15,0,15,8,0,0,0,0,0,0,0,0,0,-,0,0,5,0,2,2,2,2,6,6,15
S16,user26,,,user180@c.com,Finished,1801202017 17:21,1801202017 17:29,14 mins 43 secs,Not yet graded,5,0,0,10,15,0,15,0,10,5,5,-,10,15,0,0,8,8,0,5,0,0,0,0,0,0,5,0,0,0,2,2,2,2,2,9,9,14
S17,user27,,,user181@c.com,Finished,1801202017 17:22,1801202017 17:30,12 mins 41 secs,Not yet graded,5,0,10,10,0,15,15,8,5,5,0,0,0,0,15,15,4,4,5,0,5,0,5,0,5,0,0,5,5,0,2,2,2,0,0,10,8,17
S18,user28,,,user182@c.com,Finished,1801202017 17:23,1801202017 17:31,19 mins 11 secs,Not yet graded,5,0,10,10,0,15,15,0,10,5,0,10,10,15,15,0,4,8,0,5,5,0,0,0,0,0,0,0,5,5,2,2,2,0,0,5,6,9
S19,user29,,,user183@c.com,Finished,1801202017 17:24,1801202017 17:32,15 mins 10 secs,Not yet graded,0,5,0,10,15,15,15,8,10,5,0,10,10,15,15,15,0,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,6,9,8
S20,user30,,,user184@c.com,Finished,1801202017 17:25,1801202017 17:33,8 mins 11 secs,Not yet graded,5,5,10,10,15,15,15,0,10,5,0,10,10,0,15,15,-,4,0,0,0,0,5,5,0,0,0,0,5,0,2,2,2,2,2,5,7,25
S30,user40,,,user185@c.com,Finished,1801202017 17:26,1801202017 17:34,23 mins 24 secs,Not yet graded,0,5,10,10,15,15,15,8,0,5,5,10,10,15,15,15,0,10,5,5,5,0,0,0,5,5,0,5,5,5,0,0,0,2,2,8,4,20
S31,user41,,,user186@c.com,Finished,1801202017 17:27,1801202017 17:35,21 mins 51 secs,Not yet graded,5,5,0,0,0,15,0,0,5,0,5,10,10,15,15,15,8,0,0,0,5,5,0,5,0,0,0,5,0,5,0,2,2,2,2,6,6,15
S32,user42,,,user187@c.com,Finished,1801202017 17:28,1801202017 17:36,14 mins 43 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,5,0,0,0,15,0,0,8,0,5,0,5,5,5,0,0,5,5,0,0,2,2,2,2,2,9,9,14
S33,user43,,,user188@c.com,Finished,1801202017 17:29,1801202017 17:37,12 mins 41 secs,Not yet graded,5,5,10,10,15,15,15,8,5,5,0,10,10,15,15,15,0,10,5,0,0,0,5,0,5,0,5,5,5,0,2,2,2,2,2,10,8,17
S34,user44,,,user189@c.com,Finished,1801202017 17:30,1801202017 17:38,19 mins 11 secs,Not yet graded,0,0,10,10,15,15,0,0,10,5,5,10,10,15,15,15,8,0,0,5,5,0,0,5,0,0,-,5,5,5,2,2,0,0,0,5,6,9
S35,user45,,,user190@c.com,Finished,1801202017 17:31,1801202017 17:39,15 mins 10 secs,Not yet graded,0,5,0,10,15,15,15,8,10,0,0,-,10,15,15,15,0,10,5,5,5,5,5,5,5,5,5,5,0,5,2,2,0,2,2,6,9,8
S36,user46,,,user191@c.com,Finished,1801202017 17:32,1801202017 17:40,8 mins 11 secs,Not yet graded,5,0,10,10,15,15,15,0,10,0,5,0,10,15,15,-,8,0,0,0,-,0,5,5,0,0,0,0,5,0,2,2,2,2,2,5,7,25
S37,user47,,,user192@c.com,Finished,1801202017 17:33,1801202017 17:41,9 mins 11 secs,Not yet graded,0,5,10,10,15,15,15,8,0,5,0,10,10,15,15,15,0,10,5,5,0,0,0,0,5,5,-,0,5,5,0,0,2,2,2,8,4,20
S38,user48,,,user193@c.com,Finished,1801202017 17:34,1801202017 17:42,10 mins 11 secs,Not yet graded,5,5,0,0,0,15,0,0,5,5,0,10,0,15,0,0,8,0,5,0,5,0,0,0,5,0,0,5,0,5,0,2,2,2,2,6,6,15
S39,user49,,,user194@c.com,Finished,1801202017 17:35,1801202017 17:43,11 mins 11 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,5,0,10,15,15,15,8,8,0,0,0,5,5,5,0,0,5,0,5,0,2,2,2,2,0,9,9,14
S40,user50,,,user195@c.com,Finished,1801202017 17:36,1801202017 17:44,12 mins 11 secs,Not yet graded,5,5,10,10,15,15,15,8,5,0,0,10,0,0,15,15,4,4,5,5,5,0,5,5,5,0,0,5,5,0,2,2,2,2,0,10,8,17
S41,user51,,,user196@c.com,Finished,1801202017 17:37,1801202017 17:45,13 mins 11 secs,Not yet graded,0,0,10,10,15,15,15,0,10,0,0,0,10,15,15,15,4,8,0,5,5,0,0,0,0,0,0,0,0,5,2,2,2,0,0,5,6,9
S42,user52,,,user197@c.com,Finished,1801202017 17:38,1801202017 17:46,14 mins 11 secs,Not yet graded,0,5,0,10,15,15,15,8,10,0,0,0,10,15,0,0,0,4,5,5,5,5,5,0,5,5,5,5,0,0,2,2,2,2,2,6,9,8
S43,user53,,,user198@c.com,Finished,1801202017 17:39,1801202017 17:47,15 mins 11 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,5,0,10,0,15,15,8,4,0,0,0,-,5,5,0,0,0,5,5,0,2,2,0,2,2,5,7,25
S44,user54,,,user199@c.com,Finished,1801202017 17:40,1801202017 17:48,16 mins 11 secs,Not yet graded,5,0,10,0,15,0,0,8,0,0,0,10,10,0,15,15,0,-,0,5,0,0,0,0,5,5,0,5,5,5,2,0,0,2,2,8,4,20
S45,user55,,,user200@c.com,Finished,1801202017 17:41,1801202017 17:49,17 mins 11 secs,Not yet graded,5,0,0,10,15,15,15,8,15,5,0,0,0,15,15,0,8,0,5,0,0,0,0,0,0,0,0,0,0,5,0,2,2,2,2,6,6,15
S46,user56,,,user201@c.com,Finished,1801202017 17:42,1801202017 17:50,18 mins 11 secs,Not yet graded,5,0,10,0,0,15,15,4,5,5,0,10,10,15,15,15,8,8,0,5,0,0,5,5,0,0,5,0,5,0,2,2,2,2,2,9,9,14
S47,user57,,,user202@c.com,Finished,1801202017 17:43,1801202017 17:51,19 mins 11 secs,Not yet graded,5,0,10,0,15,0,0,8,5,5,0,10,0,0,15,15,8,4,5,0,5,0,5,5,5,0,-,5,5,0,2,2,2,2,0,10,8,17
S48,user58,,,user203@c.com,Finished,1801202017 17:44,1801202017 17:52,20 mins 11 secs,Not yet graded,5,0,10,10,15,15,15,0,10,0,0,0,10,15,0,0,0,8,0,5,5,5,0,0,5,0,0,5,5,0,2,2,2,0,0,5,6,9
S49,user59,,,user204@c.com,Finished,1801202017 17:45,1801202017 17:53,21 mins 11 secs,Not yet graded,5,0,0,10,15,15,0,8,10,5,5,10,10,15,15,15,8,4,5,5,5,5,5,-,5,5,5,5,0,5,2,2,2,2,2,6,9,8
S50,user60,,,user205@c.com,Finished,1801202017 17:46,1801202017 17:54,22 mins 11 secs,Not yet graded,0,0,10,10,0,15,15,0,10,5,0,10,10,0,15,15,8,4,0,0,0,0,5,5,0,0,5,0,0,5,2,2,2,2,2,5,7,25
S51,user61,,,user206@c.com,Finished,1801202017 17:47,1801202017 17:55,23 mins 11 secs,Not yet graded,0,0,0,10,0,0,15,8,0,5,0,10,10,0,0,15,0,4,0,5,0,0,0,0,5,5,0,0,5,0,2,2,0,2,2,8,4,20
S52,user62,,,user207@c.com,Finished,1801202017 17:48,1801202017 17:56,24 mins 11 secs,Not yet graded,0,10,10,0,15,15,15,0,5,0,5,0,0,15,15,15,8,16,5,5,0,5,5,5,0,0,0,0,0,5,2,2,2,2,2,6,6,15
S53,user63,,,user208@c.com,Finished,1801202017 17:49,1801202017 17:57,25 mins 11 secs,Not yet graded,5,10,10,10,15,15,0,0,10,0,0,0,10,15,15,15,20,12,0,5,5,0,0,5,0,0,5,0,0,5,2,2,2,2,2,9,9,14
S54,user64,,,user209@c.com,Finished,1801202017 17:50,1801202017 17:58,26 mins 11 secs,Not yet graded,5,0,10,10,0,15,15,8,5,0,0,0,0,0,0,15,4,4,5,0,5,0,5,0,5,0,0,5,5,0,2,2,2,0,0,10,8,17
S55,user65,,,user210@c.com,Finished,1801202017 17:51,1801202017 17:59,27 mins 11 secs,Not yet graded,0,0,0,10,0,0,15,0,10,5,0,5,10,15,15,15,12,20,0,5,5,5,0,0,-,0,0,0,5,0,2,2,2,0,0,5,6,9
S56,user66,,,user211@c.com,Finished,1801202017 17:52,1801202017 17:60,28 mins 11 secs,Not yet graded,0,10,10,0,15,15,15,8,10,5,5,5,0,15,0,15,0,4,0,5,5,5,5,5,5,5,5,5,5,5,2,0,2,2,2,6,9,8
S57,user67,,,user212@c.com,Finished,1801202017 17:53,1801202017 17:61,29 mins 11 secs,Not yet graded,5,10,10,10,15,15,15,0,10,0,5,0,10,0,15,0,8,12,5,0,0,5,5,5,0,0,5,0,5,5,2,2,2,2,2,5,7,25
S58,user68,,,user213@c.com,Finished,1801202017 17:54,1801202017 17:62,30 mins 11 secs,Not yet graded,5,5,10,10,15,15,0,0,0,5,5,5,10,0,0,15,0,8,0,0,0,0,0,0,5,5,0,0,5,0,2,2,2,2,2,8,4,20
S59,user69,,,user214@c.com,Finished,1801202017 17:55,1801202017 17:63,31 mins 11 secs,Not yet graded,5,0,10,10,15,15,0,8,10,0,0,0,10,15,15,15,8,12,5,0,5,0,0,5,0,0,0,0,5,5,2,2,2,0,2,6,6,15
S60,user70,,,user215@c.com,Finished,1801202017 17:56,1801202017 17:64,32 mins 11 secs,Not yet graded,5,0,0,10,15,0,15,0,0,5,5,10,10,15,15,0,16,8,0,5,0,0,0,5,0,5,5,0,0,5,2,2,2,2,2,9,9,14
S61,user71,,,user216@c.com,Finished,1801202017 17:57,1801202017 17:65,5 mins 56 secs,Not yet graded,0,0,10,0,15,15,15,8,10,5,0,0,0,0,15,0,16,4,5,5,5,0,5,0,5,5,0,5,5,0,2,0,2,2,2,10,8,17
S62,user72,,,user217@c.com,Finished,1801202017 17:58,1801202017 17:66,6 mins 56 secs,Not yet graded,0,5,10,10,15,15,15,0,0,5,5,10,10,15,0,15,4,8,0,0,5,0,0,5,0,0,5,0,5,5,0,2,0,2,0,5,6,9
S63,user73,,,user218@c.com,Finished,1801202017 17:59,1801202017 17:67,7 mins 56 secs,Not yet graded,0,5,0,10,15,0,15,8,10,5,0,10,10,-,15,15,0,12,5,5,5,5,5,0,5,5,0,5,0,5,2,2,2,2,2,6,9,8
S64,user74,,,user219@c.com,Finished,1801202017 17:60,1801202017 17:68,8 mins 56 secs,Not yet graded,5,0,10,10,15,15,15,0,0,5,5,10,10,15,15,15,8,12,0,0,0,0,5,5,0,0,0,5,5,5,2,2,0,2,2,5,7,25
S65,user75,,,user220@c.com,Finished,1801202017 17:61,1801202017 17:69,9 mins 56 secs,Not yet graded,0,5,10,10,15,0,15,8,0,5,5,0,10,15,0,15,4,4,5,5,5,0,0,5,5,5,0,0,5,0,0,0,0,2,2,8,4,20
S66,user76,,,user221@c.com,Finished,1801202017 17:62,1801202017 17:70,10 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,0,10,5,5,10,0,15,0,15,8,0,0,0,0,0,5,0,0,0,0,5,0,5,0,2,2,2,2,6,6,15
S67,user77,,,user222@c.com,Finished,1801202017 17:63,1801202017 17:71,11 mins 56 secs,Not yet graded,5,0,10,10,15,0,15,0,0,0,0,10,10,15,15,0,13,8,0,5,0,5,5,0,0,5,5,0,0,0,2,2,2,2,2,9,9,14
S68,user78,,,user223@c.com,Finished,1801202017 17:64,1801202017 17:72,12 mins 56 secs,Not yet graded,5,5,10,10,15,15,15,8,10,0,0,0,0,0,0,15,12,4,5,0,5,0,0,5,5,5,0,5,5,0,0,2,2,0,0,10,8,17
S69,user79,,,user224@c.com,Finished,1801202017 17:65,1801202017 17:73,13 mins 56 secs,Not yet graded,0,0,10,0,15,0,15,0,0,5,5,0,10,15,15,15,4,8,0,-,5,5,0,0,0,0,5,0,0,5,2,2,2,0,0,5,6,9
S70,user80,,,user225@c.com,Finished,1801202017 17:66,1801202017 17:74,14 mins 56 secs,Not yet graded,0,5,0,10,15,15,15,8,0,0,5,10,10,15,15,15,12,16,5,0,5,5,5,5,5,5,5,5,5,5,0,0,2,2,2,6,9,8
S71,user81,,,user226@c.com,Finished,1801202017 17:67,1801202017 17:75,15 mins 56 secs,Not yet graded,0,0,10,10,0,15,15,0,10,0,0,0,10,15,15,15,4,8,0,0,5,0,0,0,0,5,5,0,5,5,2,2,2,0,0,5,6,9
S72,user82,,,user227@c.com,Finished,1801202017 17:68,1801202017 17:76,16 mins 56 secs,Not yet graded,0,5,0,10,15,0,15,8,10,0,5,10,10,15,0,0,0,4,5,5,5,5,5,0,5,5,5,5,5,0,0,0,2,2,2,6,9,8
S73,user83,,,user228@c.com,Finished,1801202017 17:69,1801202017 17:77,17 mins 56 secs,Not yet graded,5,0,10,0,15,0,15,0,10,5,0,10,10,0,15,0,4,0,0,0,0,0,5,5,0,0,0,0,0,0,2,2,0,2,2,5,7,25
S74,user84,,,user229@c.com,Finished,1801202017 17:70,1801202017 17:78,18 mins 56 secs,Not yet graded,0,5,10,10,15,15,15,8,10,5,0,10,10,0,15,15,0,4,5,5,0,0,0,5,5,5,0,0,5,5,0,0,0,2,2,8,4,20
S75,user85,,,user230@c.com,Finished,1801202017 17:71,1801202017 17:79,19 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,0,0,0,5,0,0,15,15,15,20,0,0,5,0,5,0,0,0,5,0,5,0,0,0,2,2,2,2,6,6,15
S76,user86,,,user231@c.com,Finished,1801202017 17:72,1801202017 17:80,20 mins 56 secs,Not yet graded,5,0,10,10,15,0,15,0,10,5,5,0,10,15,15,15,8,16,0,5,0,5,0,0,0,0,5,0,0,0,2,2,0,0,2,9,9,14
S77,user87,,,user232@c.com,Finished,1801202017 17:73,1801202017 17:81,21 mins 56 secs,Not yet graded,5,5,10,0,15,15,15,8,5,0,5,10,0,0,15,0,16,4,5,0,5,5,5,5,5,0,5,5,5,5,2,2,2,2,2,10,8,17
S78,user88,,,user233@c.com,Finished,1801202017 17:74,1801202017 17:82,22 mins 56 secs,Not yet graded,0,0,0,10,15,0,15,0,0,5,0,0,10,15,0,15,4,8,0,0,5,0,-,5,0,5,0,0,5,5,0,2,2,0,2,5,6,9
S79,user89,,,user234@c.com,Finished,1801202017 17:75,1801202017 17:83,23 mins 56 secs,Not yet graded,0,5,10,10,15,15,15,8,10,5,5,0,10,15,0,15,0,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,0,2,2,6,9,8
S80,user90,,,user235@c.com,Finished,1801202017 17:76,1801202017 17:84,24 mins 56 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,5,10,10,0,15,15,-,12,0,0,0,0,5,5,0,0,5,0,5,5,0,2,2,2,0,5,7,25
S81,user91,,,user236@c.com,Finished,1801202017 17:77,1801202017 17:85,25 mins 56 secs,Not yet graded,0,5,0,10,15,0,15,0,5,5,5,0,10,0,0,0,0,4,0,5,0,0,5,0,5,0,5,5,5,0,2,0,0,2,2,8,4,20
S82,user92,,,user237@c.com,Finished,1801202017 17:78,1801202017 17:86,26 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,8,5,0,0,0,0,15,15,15,8,0,5,0,5,0,0,0,0,5,0,5,5,5,0,0,2,0,2,6,6,15
S83,user93,,,user238@c.com,Finished,1801202017 17:79,1801202017 17:87,27 mins 56 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,5,10,10,15,-,0,16,4,0,5,0,0,0,0,0,5,5,0,0,5,2,2,0,0,2,9,9,14
S84,user94,,,user239@c.com,Finished,1801202017 17:80,1801202017 17:88,10 mins 56 secs,Not yet graded,5,5,10,10,0,0,15,8,0,0,5,0,0,0,15,15,4,4,5,0,5,-,5,5,5,0,0,5,5,0,2,2,2,2,2,10,8,17
S85,user95,,,user240@c.com,Finished,1801202017 17:81,1801202017 17:89,11 mins 56 secs,Not yet graded,0,0,10,10,15,0,15,0,10,5,5,10,10,15,15,15,12,16,5,-,5,0,5,5,0,0,5,0,5,5,2,2,2,0,0,5,6,9
S86,user96,,,user241@c.com,Finished,1801202017 17:82,1801202017 17:90,12 mins 56 secs,Not yet graded,0,5,0,10,15,15,15,8,0,0,0,0,10,15,0,15,0,4,5,5,5,5,5,5,5,5,5,5,5,0,2,0,2,2,2,6,9,8
S87,user97,,,user242@c.com,Finished,1801202017 17:83,1801202017 17:91,13 mins 56 secs,Not yet graded,5,0,10,10,0,15,15,0,10,5,0,10,10,0,15,15,8,4,5,0,0,0,5,0,5,5,0,0,5,0,2,2,2,2,2,5,7,25
S88,user98,,,user243@c.com,Finished,1801202017 17:84,1801202017 17:92,14 mins 56 secs,Not yet graded,0,5,10,10,15,15,15,8,0,5,5,0,10,0,0,15,0,4,0,5,0,0,0,0,5,5,0,5,5,5,0,0,-,2,2,8,-,20
S89,user99,,,user244@c.com,Finished,1801202017 17:85,1801202017 17:93,15 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,0,5,0,5,10,0,15,0,15,8,16,5,0,0,0,0,0,0,0,0,5,5,0,0,2,2,2,2,6,6,15
S90,user100,,,user245@c.com,Finished,1801202017 17:86,1801202017 17:94,16 mins 56 secs,Not yet graded,5,0,10,10,15,0,0,0,10,5,0,10,10,15,15,15,8,8,0,5,0,5,0,5,0,5,5,0,0,0,2,2,2,0,2,9,9,14
S91,user101,,,user246@c.com,Finished,1801202017 17:87,1801202017 17:95,17 mins 56 secs,Not yet graded,5,5,10,0,15,0,15,8,5,5,5,0,0,0,15,15,4,12,5,5,5,0,5,5,5,0,0,5,5,0,2,2,2,2,2,10,8,17
S92,user102,,,user247@c.com,Finished,1801202017 17:88,1801202017 17:96,18 mins 56 secs,Not yet graded,0,0,10,10,15,0,15,0,10,5,5,0,10,15,15,15,4,8,0,5,5,5,0,0,0,5,5,0,0,5,2,2,0,0,2,5,6,9
S93,user103,,,user248@c.com,Finished,1801202017 17:89,1801202017 17:97,19 mins 56 secs,Not yet graded,0,5,0,10,15,15,15,8,5,5,0,10,10,15,0,0,0,4,0,0,5,5,5,5,5,5,5,0,5,5,2,0,2,2,2,6,9,8
S94,user104,,,user249@c.com,Finished,1801202017 17:90,1801202017 17:98,20 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,0,5,0,5,10,0,15,15,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,6,6,15
S95,user105,,,user250@c.com,Finished,1801202017 17:91,1801202017 17:99,21 mins 56 secs,Not yet graded,5,0,10,10,15,0,15,0,10,5,0,10,10,15,15,0,20,8,5,5,0,0,5,0,0,0,5,5,5,5,2,2,2,2,2,9,9,14
S96,user106,,,user251@c.com,Finished,1801202017 17:92,1801202017 17:100,12 mins 56 secs,Not yet graded,5,5,0,10,15,15,15,8,0,5,5,0,0,0,0,15,4,12,0,0,5,5,5,0,5,5,0,5,5,0,2,2,2,0,0,10,8,17
S97,user107,,,user252@c.com,Finished,1801202017 17:93,1801202017 17:101,13 mins 56 secs,Not yet graded,0,0,10,0,15,0,0,0,10,0,5,0,10,15,0,0,0,8,0,5,5,5,5,5,0,0,5,0,5,0,2,0,2,0,0,5,6,9
S98,user108,,,user253@c.com,Finished,1801202017 17:94,1801202017 17:102,14 mins 56 secs,Not yet graded,0,5,0,10,0,15,15,8,10,5,0,10,10,15,15,15,16,4,5,0,5,5,0,5,5,5,5,0,0,5,2,2,0,2,2,6,9,8
S99,user109,,,user254@c.com,Finished,1801202017 17:95,1801202017 17:103,18 mins 56 secs,Not yet graded,5,5,0,10,15,15,15,12,10,5,0,10,10,15,0,15,0,8,5,5,0,5,5,5,5,0,5,5,5,0,2,2,0,2,2,6,8,8
